|A JosiBar
|Jajaja apuesto que es un ex liga el equipo historia que se hacen llamar el equipo que más cantera tienen termina contratando otro jugador made in liga . Hasta los aficionados piden a marco Ureña jajaja pobres lilas
|Necio!!! Q se vaya de una vez!!!! Un delantero no arregla este ridículo de equipo !!!
|Estan negociando con el Chupete Suazo en Monterrey, hay un grupo de abogados en dicho estado en estos momentos, uno de ellos amigo mio y ojo soy remanudo
|LIKE Liga Noticias
|Messi es ese jugador
|a ese muerto no lo lenvanta nadie ahi el que no sirve es ronald que no sabe donde esta parado
|Si es como cuando escogio a moises mejor no lo contranten
|CR7,
|KAKA...PERO CON C.....
|Técnico nuevo
|Mae les voy a decir el nombre del nuevo jugador. Y con ussstedessss nuetra nueva contratación y se llama DESASIERTO como todo lo que ha hecho don Ronald y horizonte nublado
|Ronald debe dejar de alinear  al equipo light que tiene porque lo van a boletear.
|es cierto que contrataron a Cristiano Ronaldo?? o es mas humo que les vende el moradito????
|liguistas q hablan paja y son malisimos, pasaron x Walter Quesada, lo q tienen es entrenador
|$150 dejan claro que lo que quieren es dinero, no talento.
|Tenía que irse la soda para que empiecen a ganar
|pero el domingo vuelven a perder... por dicha  Ruiz salio de ahi
|haha me quitó las palabras de la boca xD
|Ya no interesa un huevo.... que se vaya a 5ta ese equipo basura y que cracker aprenda a quedarse donde estaba bien....
|Como aficionado le digo RUIZ esta debiendo fútbol hace mucho tiempo. 
Si fuera tan bueno como dicen sería un referente titular del equipo, pero no ahí lo tenían sentado.
Lo siento RUIZ le quedo grande la premier y en ese equipo no destaco que dicen que es un equipo malo entonces que haría en un equipo bueno?
|para que le siguen dando seguimiento a ese equipo????
|jajaja Ruiz era el saco de sal entonces
|Ahora si ganan
|Saludos amigos, los invito a un juego de fútbol en internet, pueden crear y dirigir su propio equipo, comprar y vender jugadores, mejorar el Estadio y las instalaciones... Éxitos (se puede conectar desde celular) http://www.powerplaymanager.com/r1216054
|jala Ruiz y empiezan a ganar jeje
|Claro se fué la teta de Ruiz y todo empieza a cambiar, me da pena por el PSV y la tricolor..
|Ruíz es el gato negro del Fulham ja ja
|Se marchó Ruiz y vuelven los buenos resultados en el Fulham... Jajajajaja
|Saludos amigos, los invito a un juego de fútbol en internet, pueden crear y dirigir su propio equipo, comprar y vender jugadores, mejorar el Estadio y las instalaciones... Éxitos (se puede conectar desde celular) http://www.powerplaymanager.com/r1216054
|uyyy ya pueden jugar dani alves y david luiz pppppfff
|Que miedo estoy temblando del susto.
|Necesito un te de tilo xq estoy temblando del miedo ??
|Y? 
|Que bien y tejeda tambien 
|..per.ras
|Ahora dicen q les hacía falta y si pierden o empantan q?
|Que bueno jugadores de peso por lo menos... 
Tejeda hace mucha falta
|Cristiano y Benzemá  jajajajajajajajajajajajà    lilas mae , lilassss ahora dicen que por eso los Gerreros del Sur se las dejó asta dentro con 9 jugadores jajajajaja
|Gatas pendientes como siempre pffff
|ha ha ha ha que buena esa! 
|a la de menos y terminan agarradas  las dos tetas ésas 
|Yyyyyyyyyy eso qué? ??????
|huy que miedo nada mas estamos eperando ese clasico para darles tetica alas feas del virilla ah y desteñidas
|Los HPS  vulgares SIEMPRE pendientes de Papa, VAMOS SAPRISSA en las buenas y en las malas mucho más contigo!!!!!!
|Hablen Maludos hablen entre más confiados mejor para nosotros
|aún así están mejor los paísas que nosotros y eso sólo dos refuerzos tienen
|Que montón de MININAS comentando y pendiente de como están empezando a estar disponibles las piezas claves de PAPA
|Saludos amigos, los invito a un juego de fútbol en internet, pueden crear y dirigir su propio equipo, comprar y vender jugadores, mejorar el Estadio y las instalaciones... Éxitos (se puede conectar desde celular) http://www.powerplaymanager.com/r1216054
|Su abuela. Frustrado.
|mmm que lastima adrian d lemos,, no le di una o portunidad ronald
|ahí está la  &quot;cantera&quot; herediana
|De lemos!!!!! De capa caída!!!! Y pintaba para ser de los mejores porteros del país!!!!
|jajaja que pecao con ese mae
|Siguen llorando ja ja ja
|hágase un trajecito de muñeca y yo le regalo la chupeta ! 
|jajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajaja  Este fue el mismo que dijo que los chicharrones se los comian en diciembre... No se me atragantó???
|oye pero todos estos maes son bocones y soñadores ,es mal de familia ,pecaito
|Ya una final mas es masoquismo!!!
|Ninguno pudo con él, ninguno pudo con él, sólo el León
|gran  talon  de  aquiles  de  el  team  lo  podra  hacer  buena  pregunta  en  estancias  finalñes  claro  esta
|Kien es el idiota k dice eso
|Saludos amigos, los invito a un juego de fútbol en internet, pueden crear y dirigir su propio equipo, comprar y vender jugadores, mejorar el Estadio y las instalaciones... Éxitos (se puede conectar desde celular) http://www.powerplaymanager.com/r1216054
|A este bloggero le duele más, porque habló mucha paja el torneo pasado.
|No señor papi LIGA es papi
|Flores marchitas no ES solo una factura son varias y ya comienzan de BOCONES  Y AL FINAL LLORAR Y LLORAR JJJJJJJ
|van a tener que hacer algo secuestrar al machillo o algo así o una selección.
|Ya la llorona presentó una Querella xq los heredianos le están  usurpando su lugar estás locas lloronas jajajajaja
|Paselen una chupeta al lloron!!
|el unico rival de heredia la liga .... vamos team vamos por el 24 xD
|A pecadito....siguen llorando? Quieren chupetita?
|Porque los Maludos hablan mal, éste mae se refiere muy bien a la liga lo reconoce, deberían sentirse orgullosos de ganarle al mejor EQUIPO de CR hace años EL HEREDIANO
|Como no han quitado esta cochinada del muro florense, ya heredia no es el campeón y este mae tiene un deficit mental al escribir, le ganaron a Puntarenas, un equipo que hasta Belen le ganó por 2 goles de diferencia
|La diferencia fue un penal eso es todo
|Messilieber detected!
|Sus detractores tienen dos posibilidades: reconocer sus méritos o llorar también. Excelente esa parte :D
|su director es patetico
|Messi Enamorado
|Hubiera ganado otros pero Blatter se dió el color de ser el lame bolas de Messi, por eso ganó CR7 este y debió ganar otros más!
|Maes lo invito a leer la nota antes de criticar
|Vale que es director
|Mae mas ridiculo pffff CR7  es el mejor
|talvez llorón, pero fué mejor que el enano maleante ese en el 2013,  y que vayan quitandose la idea de ver a los argentinos campeones mundiales, creo que veo mas a Cartago campeón.
|Pesimo periodista ,jugando de Jose Ramon fernandez
|nadie leyó la nota?
|Su director es muy POCO PROFESIONAL!!!! 
|Ningun lloron señor esta equivocado el se lo ah ganado como debe ser...
|no se sí dan pena o sólo son idi...s xD siempre comentando sin leer la nota completa xD
|Lo mejor es entrar a la nota, cuando uno lee el encabezado de un solo le riega las bilis jajaja, me gusta lo que dice al final :)
|Yo no soy fan de ninguno de ellos pero como va a poner esto ese mae.
|Para ser el comentario del director de un periódico, está MUY parcializado y cero objetivo! Verguenza debería darle semejante porqueria de columna!
|Creo q antes de comentar deberían leer antes el artículo y no guiarse solo x el título
|tome el trofeo periodista de cuarta jajaj
|q  envidia le tienen, seran LILAS, Al Dia.CR siempre lo ha sido
|No entiendo porque este periodico publico esto... Genera polemica, mala imagen (mas del &quot;DIRECTOR&quot;) y un sin numero de comentarios negativos como los que puede leer a continuación:
|Excelente su comentario Don Antonio, imparcial, reconociendo y respetando una reacciòn inherente al ser humano...!!!
|ningun lloron señor.lo ha pulseado con ganas. que es diferente.
|Veo que muchos no leyeron la nota y otros si, pero sin  embargo como que andan malisimo en comprensión de lectura,  el periodista es completamente imparcial en la publicación,  no sean tan brutos para opinar si no entienden es mejor preguntar y decir que no entendieron y no jugar de sabiondos y decir idioteces!!!  Por favor lean pero lean con comprensión de lectura...
|Niko Mendez D correcion amigo..demasiado patetico
|Deberían leer la nota.
|Para ser el director de un periodico no tiene ni el mas minimo profesionalismo y respeto
|Con ese titulo no perdería ni un minuto leyendo
|lea la nota entera, no se vaya por el título ;)
|lea la nota &quot;profesional&quot;...
|Igual el título es sensacionalista
|Un pequeño estudio de &quot;lectores&quot; en facebook!!! 95% de quienes ven el post no leen la nota!!!
|Fijo escribio la nota con camisa de Barcelona y foto de su idolo a un lado de su laptop. Prensa amarillista, y que decanta sus creencias y gustos, cero objetivos. Imagino que le dolio hablar bien en el ultimo parrafo. Al final termino llorando fijo al no poder celebrar. Una nota sobre ese tema solo para generar polemica habiendo tantos temas aprovechables de la gala, es una pena.
|Bah.... patético don Antonio Alfaro
|Antonio Alfaro, de verdad, no se te ocurrió escribir algo mejor? Q poco profesional !!!! Imbécil
|Me gusta su picardía p escribir, recuerda &quot;ladran los perros&quot;
|Por eso en mi negocio tengo todos los periódicos menos ese
|Y QUE MESSI HIZO 92 GOLES EN UN AÑO, Y QUE MESSI EN LA TEMPORADA 2011/2012 HIZO 50 GOLES EN LA LIGA ESPAÑOLA SIENDO EL JUGADOR CON MAS GOLES ANOTADOS EN UN CAMPEONATO, Y QUE MESSI A SIDO EL PICHICHI 3 VECES EN LA ULTIMAS 4 TEMPORADAS, Y QUE MESSI EN LA EN LA LIGA DE CAMPEONES DE EUROPA TEMPORADA 2011/2012 ANOTO 14 GOLES SIENDO EL JUGADOR CON MAS GOLES ANOTADOS EN UNA SOLA TEMPORADA AHHHH ADEMAS EN LAS ULTIMAS 6 TEMPORADAS FUE EL MÁXIMO GOLEADOR EN 4 DE ELLAS Y CONSECUTIVAMENTE Y POR ULTIMO LAS DEJO UNA GOTITA DE HUMOR........DURANTE LA ENTREGA DE EL BALÓN DE ORO CUANDO LOS PERIODISTAS LE PREGUNTARON A CRISTIANO&quot; EL LLORÓN DE ORO &quot; QUE SI HABÍA LLORADO DE FELICIDAD ESTE LES RESPONDIÓ &quot; NO ESTABA LLORANDO POR QUE EL OTRO AÑO SE LO TENGO QUE DEVOLVER A SU VERDADERO DUEÑO O SEA A MESSI ENTENDISTE antonio alfaro
|La nota es buena... me parece el título a propósito para ver quienes leen la nota
|un mediocre y ridiculo jugador ,,, hpt maricas
|Que asco de título para ese artículo se nota la falta de profesionalismo y la neutralidad que debe tener un periodista serio y de verdad. Salado Cristiano es el mejor y punto. Ah y que llore todo lo que quiera
|Periódico amarillista
|Director purete serás argentino pendejos
|antonio alfaro, conose la fuente de la hispanidad??? viva CR7
|Escribió la nota del 'llorón' mientras suspiraba por el bañaso de traje rojo..
|Eso me suena a pura ENVIDIA a NADIE LE IMPORTA LO Q ESCRIBE ESE MAE!!!!! Grande CR7 !!!!!!
|Q titulo y q contenido mas pobre no dice nada me gusta aldia pero &quot;articulos&quot; como estos desprestigian al periódico
|Mmmmm, me suena a medio Barcelonista el comentario...cuando a una persona se le otorga un premio mejor busquemos las cosas positivas...cambiemos como ticos esa actitud de llamar la atención diciendo cosas malas de la gente...y su calidad y sus goles no lo tienen ahí también...
|Jajaj todo un catalán frustrado....
|Jajaja dnd sacan esos títulos profesionales para ir que falta de todo imbécil !!!!
|Por eso éste país está como está con sensacionalistas como personas asi. Y lo peor, señalan a otros como peores y siendo peor calaña ellos. Que tristeza
|Ok, lei la nota: el titulo es engañoso . creo que el análisis es bastante objetivo
|SEñores: HAY QUE LEER LAS NOTAS ANTES DE OPINAR.... yo critique al director pero tuve que retractarme, por que después lei la nota completa, y me parecio un excelente comentario del Sr. Antonio Alfaro
|Ahora resulta que llorar no es de hombres.
|Q falta d etica profesional tiene
|Que director mas estupido tiene este periodico Al Dia. Que mal nacido ahora Cristiano no puede expresar sus sentimientos. POR FAVOR QUITEN ESTA BASURA DE PUBLICACION.
|Seas mio, ahora viene todo hecho un crack del equipo donde estaba, eso lo dice para que Pinto lo tome en cuenta, engañado
|Ahora es una inminencia.!
|Va en busca del guevon de oro.
|¡Traaaaanquilo Ronaldo!
|Como tiemblan las lilas y las florecillas
|diay...como le dicen ahora???...jajajajaja...que lo demuestre en la cancha...mejor que no diga nada aun y luego lo diga cuando quede campeon goleador...sino, ya con esa hablada lo van a reventar!!!...para mi se la pelo diciendo eso!!!
|Tranquilo CR7 jajaja
|Aguatero, utilero y wachi man!!
|Y lo peor que todos los entusiastas seguidores de la bola de la primera sé lo van a creer.!
|Tranquilos que eso se va a demostrar en la cancha con goles.
|jajaa... buenaa esaa jajaja
|Uuyyy
|Ahora hace menos pelicula, ya no se tira al suelo tanto.
|Seguro que fue por bueno que regresó a CR.....
|Banca derecha, central e izquierda!
|Lilas y perredianos como se les ve lo cagados ke están jaja
|En la banca y el camerino y el baño !
|Bueno X algo volvió a La Liga. Y no creo que sea por bueno
|Cuidado cuidado CR7 jajaja vocon
|#El_balón_de_oro tenía que ser para el entonces? Jajaja mcperra más chistoso
|Bueno se viene Liga Campeon otra vez, que grande el BigMac
|Pecado con tanta envidia! Grande Mc. Donald's
|No se riegue las bilis amigo
|de espaldas parecde al depredator, jajaja,, de frente mas..
|Huele a miedo florense y morado
|Ay que preguntarle cuantos tacos iso donde lo tenianbde cosinero
|Con que juegue bien y sude la camisa me basta...
|Ahorita juega banca
|De fútbol no se mucho, pero eso no es lo que tiene que hacer un delantero o es que solo es esperar en el área, ahora entiendo a Messi el si lo sabía desde hace mucho tiempo....
|Jjjjj como quien dice vino a la mejor liga de el mundo jjjj
|Con razón los 6 goles en 2 años jajajajaja
|Achero de llegada Achero de milpero y Achero limero . Mac putx
|Que nivel de cerebro don Berny, esta volando mi amigo, no he parado de reir desde que lei semejante salida suya, muy bueno la verdad.
|el terror de los morados
|Tranquilo #Amargo compañero, preocúpese mejor porque su equipo no pierda el próximo partido contra 9 #mamadoreS
|Excelente!!!  esas cosas son de profesionales que le enseñan a un futbolista a no ser lo mismo de siempre, buscan explotarle las virtudes...eso hace un verdadero entrenador.
|Cuidado llego messi me siento a llorar jajajajajajaja uviera firmado con lo pirulos
|Hay* - hizo* - cocinero*            Estamos mal en gramática loco!
|A mi me sorprende lo bañasos q son las gatas, no se de que rajan con este mae. Es un jugador común y corriente del medio local. 
no sean engañados, déjenlo que hable en la cancha metiendo goles y dando asistencias y sudando la camisa.
Fher
|bocon*
|De rodillas, de 4 patas y acostado
|..................................................Porterillos pura mi...da del darrisa ?.............................. GOOOOOOOOOOOOOOOOOOOOOOOOOOL DE MC DONALD..... ! ..... jajajaja :) :)
|4, también Artes marciales...jajajajajaja
|Fracasado, 7 goles en 2 años!!
|JAJAJAJAJAJAJA q buena!
|Alla lo q pudo haber aprendido es hacer maromas en los semaforos xq ni jugo la PERRAAAA!! jajajaja
|que buena. Así se ríen cuando lleguen a su octava eliminación consecutiva. 
|y en ninguna de las tres sirve
|Que lindas las #lilaS vomitando bilis por algo que ni les concierne... Mejor preocúpense porque el próximo partido juegan contra 11 XD
|Se dice eminencia* como que es algo común en ustedes los morados el no saber escribir verdad?
|si
|No. Fuera.
|medfor
|Si
|no
|NO!!!
|fueera
|Jajajajajaja jajajajajaja jajajajajaja jajajajajaja
|papi pelicano hernan medford !! pero paraya :D
|No y todos los jugadores tambien fuera
|NO FUERA RONALD
|Ya es hora q se valla del saprissa le quedó muy grande el puesto de entrenador
|Que se largue y se lleve a Russell Guzmán Golobio Grant Row y al imbecil de Juan C Rojas!!!!
|Por qué la prensa induce a la gente a tomar decisiones. Informen no se involucren, los dirigentes de Saprissa deberán resolver su problema
|Nooooo!
|Ronald si. Fuera Guzmán, Juan Diego Madrigal, Martínez, Rodriguez y Row!!!
|Si por favor, es muy divertido para todos los demás JAJAJA
|no.
|Si
|Ronald González  debe de Renunciar de Inmediato, no tiene la Capacidad Técnica para dirigir a un Equipo como Saprissa. No hay Peor Ciego que el que No quiera ver la Realidad, ha fracasado en 2 Torneos y vamos a volver a Fracasar en el Verano 2014 ¡ Póngale la Firma ! SAPRISSA necesita un Técnico Extranjero, ya sea de Sudamericano, Mexicano o Español con otra visión de Juego !
|no
|no
|Una ultima oportunidad
|Si debe seguir para no perder otro proceso, pero debe dejar tanta argolla
|No, se debe contratar un técnico que muestre su carácter tanto en la cancha como en el camerino, que traiga consigo cambios y despida a los jugadores que no dan la talla para estar en el Saprissa
|NOO
|medford !!!!
|Fuera
|Nooo .l.
|Si
|Le quedó muy grande saprissa a ronald.
|Ya es hora q le haga un favor a saprissa q se vaya ya para q salga bien y no x l la puerta de atras
|Haciendo el R.......
|sí, todos los que dicen que no, no saben de fútbol... Esto es un proceso, no se puede estar cortando cabezas cada temporada que pasa, Ronald debe seguir...
|Le han dado menos chance a otros técnicos... 
|Si claro a mi me sirve
|NO , pero no solo el sino su &quot;asistente&quot; que no ha hecho mas que calentar el banco.
|Si...para seguir comiendo pollo...
|A sip q se lleve ese argollero y a randal row
|Para mi sí debe seguir porque es un buen técnico lo que falta es acomodar bien a los jugadores y decirles que saquen la cara por el equipo
|Si. quiero seguirme riendo
|Fuera Ronald González y RANDAL ROW 
|Si. Para seguir burlandonos de SapRISA. Byron Garita Sergio Jara Camacho JAJAJA
|NO..Y MIL VECES NO..NECESITAMOS UN ENTRENADOR CON CARACTER..AL ESTILO DE GUIMA..O HERNAN MEDFORT..
|No
|&quot;Ronald es un morado de corazón&quot;, &quot;El conoce como es que se trabaja en la S&quot;, &quot;Que se preparen las gatas porque ahora si les llueve&quot;, &quot;Que dicha que viene Ronald que nos va a llevar otra vez al mundial de clubes&quot;, ETC, ETC, ETC.
|Imbéciles los que apoyan a Ronald González que vuelva Medford!!!!!
|Noooooo x favor.
|No soy saprissista pero creo que fue mucho bla bla y no ha hecho nada a contratado a manos llenas y el equipo no juega a nada
|FUUEERAAAAAA a no sriven cochinada jugadores directiva y TECNICOOOO
|Qué???. no se ha retirado todavía?.
|Jaja ya tiene plata y mucha seguir corriendo como que ya no le interesa
|Don Walter &quot; tenemos expectativas&quot; no es para su vocabulario, sea más sincero y diga que Nery no esta bien y no tiene para ganar otra medalla más allá de Centroamérica
|Don Walter con el respeto que usted se merece este sr Nery Brenes ya cumplió su ciclo ya obtuvo regalías del gobierno y dio por concluida su participación en el deporte.
|Esperen sentados.
|Este señor con la plata que le dieron ya no le interesa esta hay x lámpara en centro americanos si no hace nada ya sería el colmo la plata lo lesionó
|que le dejen de dar plata para que vea como retoma su habilidad
|Cuando no contaba con apoyo y patrocinio (dinero) se partia el alma en la pista ahora no se le ven ganas y es uno más del monton, gracias por lo que logro por el país pero Ciao
|Que apuesta mas arriesgada nunca a entrenado a nadie se acaba de retirar.  Ojalá pegue.  Si a como jugaba entrena nos saca del abismo.
|mejor que allegri casi cualquiera, ojala nos saque!
|ojala ojala ! Con Honda y con el central nuevo, ademas del nivel que ha subido Robihno creo que se puede mejorar notablemente ! ! Quiza para la proxima temprada pelear por el titulo nuevamente
|Q peligroso es jugarsela pero ojala la pegue
|Diferente lider...misma jauria!!!
|Creo que no es la primera vez que lo veo así
|A Quintavalle le gusta esto
|Con ese hombro así juega mucho más q un montón
|el chiquillo de quintaballe
|Dentro de 1 año, ese mae vuelve a la S.
|Dentro de un año la S estará en segundas... jajaja
|Ja ja es sierto lore las lilas ban pa segundA
|Y usted para la escuela para que le enseñen a escribir mi amigo estas fatal
|Yai lo mas seguro es por que se habla del saprissa y como esta re mal no saco el tiempo para hacerlo bien asi es le duela a quien le duela
|Buena recuperación super ratón!
|No joda,quisieras!!!
|Q se recupere pronto zorro!
|Christopher como ese mae dentro de un año a la escuela deberían matricularlo ya en preescolar ... José mordido
|El que no debería de estar es Randall Row....
|Claro entre más dure ahí mejor. VIVA LA LIGA
|No deve seguir desde el campeonato pasado le kedo grande la camisa de DT
|Si claro ... Acaso esta haciendo algo mal. Jajaja
|No. Un entrenador q lleve dos campeonatos jugando a nada y poniendo a russel grant guzman martinez y rodriguez y no vea q no sirven tiene q irse
|medford
|Soy manudo... Pero saprisistas?? No creen ud q tantos tecnicos en tan poco tiempo, es algo ya de los jugadores y no del cuerpo tecnico??? Ronald es buen tecnico... Pero su generacion de jugadores no, compran y compran estrellas pero no tienen conjunto... Eso ya es algo de jugadores no de entrenador!!!
|La verdad si, creo que el error esta en los jugadores los cuales no dejan todo en la cancha, Ronal  trabajo con lo poco que tiene
|la culpa no es de Ronald el heredo un equipo sin enfoque ,y si quieren salir de esto necesitan constancia y planificacion. Soy manuda!
|Cual proceso? Y quien es usted para decirle a alguien que no sabe nada de futbol? FUERA RONALD GONZALEZ
|No es el tecnico...eso viene desde la directiva hasta los jugadores. Ese directivo es un aficionado mas
|Si por que no es el técnico son los jugadores que no están jugando con el Corazón
|fuera
|No ya a tenido demasiado tiempo y chance para conosert y parar el equipo fuera ronald
|debe  de Seguir
|Para mí se debe continuar al menos en este campeonato para ver cómo se acomoda cuando se regule el tema de las lesiones (al parecer sólo quedaría Escoe fuera por lesión) y de los sancionados. Si no resulta sí debería salir del equipo.
Por el momento quien creo que está calentando el banquillo es Randall R, él sí debería salir ya.
|Saprissa debe apostar x un técnico de mayor jerarquía, Ronald y Row han demostrado que no tienen el carácter ni la preparación para dirigir al Deportivo Saprissa!
|Definitivamente no!!!!!!!
|NO
|Lastimosamente me parece que no,ya que sigue insistiendo en jugadores sin carácter y calidad que están perjudicando al equipo como Russell
|Nooo. Por supuesto que no....que clase de pregunta jajaja. ....mucha excusa mucho bla bla bla ......es incoherente mano floja .....
|un partido mas
|S complicado si bien s cierto el no juega pero el ordena y manda al equipo y ellos no l hacen caso o son bien malos
|JAMÁS JAMÁS DIJO CAMILO SEXTO
|Rotundo no
|Que siga! Que siga!
|NO DEFINITIVAMENTE NO, llego como un rey y bien recibido por la aficion... pero ya es demasiado verle la cara a todos los que llenamos el estadio, los que sufrimos de ver ese equipo sin alma, con mucho menos se escucho FUERA CASAS en el Ricardo Saprissa, lo botaron por no ser de los consentidos; en cambio Gonzalez con todo a su favor no supo, ni sabrá NUNCA lo que es ganarse a la aficion, porque parece haber olvidado las raices del equipo... Saprissa es el mejor club del pais, ese arrollador y siempre para el frente, con los mejores jugadores... ahora? ahora no somos ni la sombra... y va de la mano de la peor dirigencia en años y pues el peor CUERPO TECNICO, completo...
|Y  row fuera también otra mona igual a ronald
|Q pregunta más estúpida!!!!! La respuesta es obvia!!! O periodistas los de Costa Rica!!!!
|Claro q deve continuar si no d q nos vamos a reir despues d cada jornada jajajajaja
|No -.- son los jugadores qe no le ponen...
|No ya se le dio mucho chanse y no ha mostrado nada
|Que pongan a pâté el dijo hoy que ay jugadores que le quedan grande la camisa pero Ronal los tapa
|Siiiiii obvio jaja para seguirnos burlando
|Si
|no definitivamente no, para que el equipo siga ganando se debe
|Se los come la presión y eso es fatal en Saprissa, no han demostrado capacidad para estar ahí.
|No ya tuvo su oportunidad y no a demostrado nada además que tiene mucha argolla con ciertos jugadores que no le an rendido la talla también se trajo a un jugador de Guatemala bien malo por dicha lo hecharon y sí tanto quiere al saprisa que renuncié 
|Si el que se debe de ir es Randall Row y si se va Ronald que se venga Hernan Medford que es el Terror de los manudos :-D :-D :-D :-D :-D 
|Siiiii obvio para seguirnos burlando
|Yo fui uno de los que se alegró con la llegada de González, pero debo admitir que le quedó grande la camiseta morada. Habla de malas decisiones de los jugadores y él ha tomado pésimas decisiones, dejarse a Josué Martínez y a Ariel Rodríguez y desechar a Lagos y a Madrigal. Relegar a la banca a Castillo. Seguir insistiendo en Grant. Jugar en casa con un sólo delantero, en fin, creo que le llegó su hora a Ronitald...
|Creo como saprisista que ya pasó su ciclo y no lo logró, ya perdió toda credibilidad de parte de los aficionados y el camerino
|Nooooooo.
|Logico
